box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241123_8wb9.xml,0,1,0,0,2024-25,2024-11-23,Alberta,Brandon,33,80,3 ,November 2024,Final,20241123_8wb9,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241129_epro.xml,0,1,0,0,2024-25,2024-11-29,Winnipeg,Alberta,64,46,6 ,November 2024,Final,20241129_epro,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241130_v5k8.xml,0,1,0,0,2024-25,2024-11-30,Winnipeg,Alberta,77,66,6 ,November 2024,Final,20241130_v5k8,NA
NA,0,1,0,0,2024-25,NA,Alberta,Lethbridge,NA,NA,NA,NA 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Lethbridge,NA,NA,NA,January 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC Okanagan,Alberta,NA,NA,NA,January 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC Okanagan,Alberta,NA,NA,NA,January 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Manitoba,NA,NA,NA,January 2025,6:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Manitoba,NA,NA,NA,January 2025,5:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Regina,Alberta,NA,NA,NA,January 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Regina,Alberta,NA,NA,NA,February 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,MacEwan,Alberta,NA,NA,NA,February 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,MacEwan,Alberta,NA,NA,NA,February 2025,5:00 PM MST,NA,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241004_t16b.xml,1,0,0,0,2024-25,2024-10-04,Nipissing,Algoma,45,76,5 ,October 2024,Final,20241004_t16b,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241005_d5e9.xml,1,0,0,0,2024-25,2024-10-05,Nipissing,Algoma,59,72,9 ,October 2024,Final,20241005_d5e9,NA
NA,1,0,0,0,2024-25,NA,Algoma,Dalhousie,62,49,9,October 2024,Final,NA,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241019_5qt0.xml,1,0,0,0,2024-25,2024-10-19,UNB,Algoma,42,76,2 Dal Tournament - Non-Conference ,October 2024,Final,20241019_5qt0,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241020_ejpb.xml,1,0,0,0,2024-25,2024-10-20,Winnipeg,Algoma,37,60,7 ,October 2024,Final,20241020_ejpb,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241026_kb3c.xml,0,1,0,0,2024-25,2024-10-26,Algoma,Lakehead,66,42,2 ,October 2024,Final,20241026_kb3c,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241102_xmwr.xml,0,1,0,0,2024-25,2024-11-02,Algoma,Toronto Metropolitan,70,38,8 ,November 2024,Final,20241102_xmwr,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241103_ah3l.xml,0,1,0,0,2024-25,2024-11-03,Algoma,Toronto,85,58,8 ,November 2024,Final,20241103_ah3l,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241108_s6sq.xml,0,1,0,0,2024-25,2024-11-08,Queen's,Algoma,33,90,3 ,November 2024,Final,20241108_s6sq,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241109_o1zb.xml,0,1,0,0,2024-25,2024-11-09,Ontario Tech,Algoma,70,56,6 ,November 2024,Final,20241109_o1zb,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241115_bc5e.xml,0,1,0,0,2024-25,2024-11-15,Algoma,Carleton,81,33,3 ,November 2024,Final,20241115_bc5e,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241117_ovsn.xml,0,1,0,0,2024-25,2024-11-17,Algoma,Ottawa,74,53,3 ,November 2024,Final,20241117_ovsn,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241123_hfmm.xml,0,1,0,0,2024-25,2024-11-23,York,Algoma,58,61,8 ,November 2024,Final,20241123_hfmm,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241124_o2fs.xml,0,1,0,0,2024-25,2024-11-24,Brock,Algoma,44,71,4 ,November 2024,Final,20241124_o2fs,NA
NA,0,1,0,0,2024-25,NA,Western,Algoma,NA,NA,NA,NA 2025,6:00 PM EST,NA,NA
NA,0,1,0,0,2024-25,NA,Western,Algoma,NA,NA,NA,January 2025,2:00 PM EST,NA,NA
NA,0,1,0,0,2024-25,NA,Algoma,Laurier,NA,NA,NA,January 2025,6:00 PM EST,NA,NA
NA,0,1,0,0,2024-25,NA,Algoma,Laurier,NA,NA,NA,January 2025,4:00 PM EST,NA,NA
NA,0,1,0,0,2024-25,NA,Algoma,McMaster,NA,NA,NA,January 2025,12:00 PM EST,NA,NA
NA,0,1,0,0,2024-25,NA,Windsor,Algoma,NA,NA,NA,January 2025,6:00 PM EST,NA,NA
