box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241129_7yex.xml,0,1,0,0,2024-25,2024-11-29,Alberta,Brandon,0,3, ,November 2024,Final,20241129_7yex,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241130_nvs4.xml,0,1,0,0,2024-25,2024-11-30,Alberta,Brandon,0,3, ,November 2024,Final,20241130_nvs4,NA
NA,1,0,0,0,2024-25,NA,Dalhousie,Alberta,NA,NA,NA,NA 2025,7:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Trinity Western,NA,NA,NA,January 2025,5:00 PM PST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Trinity Western,NA,NA,NA,January 2025,4:00 PM PST,NA,NA
NA,0,1,0,0,2024-25,NA,Thompson Rivers,Alberta,NA,NA,NA,January 2025,7:30 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Thompson Rivers,Alberta,NA,NA,NA,January 2025,6:30 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC,Alberta,NA,NA,NA,February 2025,7:30 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC,Alberta,NA,NA,NA,February 2025,6:30 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,8:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,5:00 PM MST,NA,NA
NA,1,0,0,0,2024-25,NA,Brandon,MacEwan,1,3,NA,October 2024,Final,NA,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241025_vb9c.xml,0,1,0,0,2024-25,2024-10-25,Brandon,Trinity Western,3,0, ,October 2024,Final,20241025_vb9c,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241026_cgtj.xml,0,1,0,0,2024-25,2024-10-26,Brandon,Trinity Western,3,0, ,October 2024,Final,20241026_cgtj,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241108_6nxb.xml,0,1,0,0,2024-25,2024-11-08,Saskatchewan,Brandon,0,3, ,November 2024,Final,20241108_6nxb,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241109_xo9u.xml,0,1,0,0,2024-25,2024-11-09,Saskatchewan,Brandon,0,3, ,November 2024,Final,20241109_xo9u,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241115_xzhp.xml,0,1,0,0,2024-25,2024-11-15,Brandon,Manitoba,3,0, ,November 2024,Final,20241115_xzhp,NA
